"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","tipo","motivo"
"@BelencithaPulid @CuriousCatMe no, arroba pinche viejo eres tu? jajajaja okya",FALSE,0,"BelencithaPulid",2018-06-12 23:27:25,FALSE,"1006678337027129344","1006679394864304130","757034785856380928","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","GabyQS25",0,FALSE,FALSE,NA,NA,"pinche_viejo","edad"
"@JoseAMeadeK @ESCORPIONGOLDEN Pinche viejo ridículo",FALSE,3,"JoseAMeadeK",2018-06-12 22:46:23,FALSE,"1006665823480512512","1006669068542373890","237372254","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","chiluco_puebla",0,FALSE,FALSE,NA,NA,"pinche_viejo","edad"
"Destaco que - después del video de pinche viejo cochino que circuló hace poco - AMLO podría ya meterle la mano a al… https://t.co/cKLxgtdoJ8",FALSE,0,NA,2018-06-12 22:43:25,TRUE,NA,"1006668319737331712",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","ricardoe",0,FALSE,FALSE,NA,NA,"pinche_viejo","edad"
"@Marconeeh @Milenio Se parese al pinche Luis Mi ese viejo pelado hahahaXD",FALSE,0,"Marconeeh",2018-06-12 20:57:03,FALSE,"1006638941515198465","1006641555078123520","322911687","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","julioespacial",0,FALSE,FALSE,NA,NA,"pinche_viejo","edad"
"Pinche viejo cochino
@lopezobrador_ https://t.co/gM3RxDR89C",FALSE,1,NA,2018-06-12 20:14:20,FALSE,NA,"1006630803625869317",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","jose73perez1",2,FALSE,FALSE,NA,NA,"pinche_viejo","edad"
"@Jesus_ZambranoG Pinche viejo payaso.",FALSE,0,"Jesus_ZambranoG",2018-06-12 19:12:28,FALSE,"1006563849447837699","1006615233572605953","269058934","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Fillipocran",0,FALSE,FALSE,NA,NA,"pinche_viejo","edad"
"@jenarovillamil @VicenteFoxQue Pinche viejo marihuano , vendepatrias y además ojete !",FALSE,0,"jenarovillamil",2018-06-12 19:09:27,FALSE,"1005532779667283968","1006614475171094528","132346487","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Eduardo12666108",0,FALSE,FALSE,NA,NA,"pinche_viejo","edad"
"@VicenteFoxQue @monerorictus Foxito pinche Viejo Ridículo",FALSE,0,"VicenteFoxQue",2018-06-12 18:21:05,FALSE,"1005577214073757696","1006602303250432000","166669818","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","eduardoimagine",0,FALSE,FALSE,NA,NA,"pinche_viejo","edad"
"@FelipeCalderon @ErnestoCordero @RicardoAnayaC Cooperacha para un Tonaya, este pinche viejo  ya se volvió loco o es… https://t.co/CH3hhHQH0x",FALSE,0,"FelipeCalderon",2018-06-12 18:18:38,TRUE,"1006582641909489664","1006601684640989184","144376833","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","maximoayala1",0,FALSE,FALSE,NA,NA,"pinche_viejo","edad"
"@JaimeRdzNL Pinche viejo loco solo hace mosca el cabron ratero",FALSE,0,"JaimeRdzNL",2018-06-12 18:00:16,FALSE,"1005473192184635392","1006597062518038528","1342520820","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","enriqmelendez",0,FALSE,FALSE,NA,NA,"pinche_viejo","edad"
"PINCHE VIEJO RABOVERDE bromas panda show sin censura 2018: https://t.co/FxiRKqCHp5 a través de @YouTube",FALSE,0,NA,2018-06-12 17:00:23,FALSE,NA,"1006581994732449792",NA,"<a href=""http://www.google.com/"" rel=""nofollow"">Google</a>","Almosteca",0,FALSE,FALSE,NA,NA,"pinche_viejo","edad"
"@NormanFPearl @RicardoAnayaC @lopezobrador_ Pinche viejo rata,",FALSE,1,"NormanFPearl",2018-06-12 15:38:13,FALSE,"1006342578105487360","1006561316402880512","780970759","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","zezar48",0,FALSE,FALSE,NA,NA,"pinche_viejo","edad"
"@tatclouthier Pinché viejo loco orate el que se inventó su secuestro",FALSE,0,"tatclouthier",2018-06-12 15:03:52,FALSE,"1006326508154249216","1006552671212462080","33937794","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Rolas04",0,FALSE,FALSE,NA,NA,"pinche_viejo","edad"
"@JLHB33 ¿Que pasó, ya no es su ""Tio Higuera?... 
Pinche viejo ridículo, chinga tu madre.",FALSE,0,"JLHB33",2018-06-12 14:26:30,FALSE,"1006527465299369984","1006543269097066496","1914889524","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","DarkCadillac",0,FALSE,FALSE,NA,NA,"pinche_viejo","edad"
"@revistaproceso Ojalá cuando empiece el sexenio de Obrador le puedan hechar mano a este pinche viejo vividor de los… https://t.co/4tIXY7VngZ",FALSE,0,"revistaproceso",2018-06-12 12:12:42,TRUE,"1006266821786423296","1006509597354594304","41156599","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","utopicoxy",0,FALSE,FALSE,NA,NA,"pinche_viejo","edad"
"@carlosmartinh @MBarbosaMX Dios nos libre que gane este viejo feo cara de sapo, padrote pervertido, recuerden que y… https://t.co/TrbsaKxaRo",FALSE,0,"carlosmartinh",2018-06-12 10:44:49,TRUE,"1006375853859786753","1006487477983629313","84593007","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","EnriqueIsrael10",0,FALSE,FALSE,NA,NA,"pinche_viejo","edad"
"@Nacion321 Pinche viejo, ya lo pide la tierra y todavía quiere estar chingando",FALSE,1,"Nacion321",2018-06-12 05:09:59,FALSE,"1006295764857950208","1006403216169414656","753034902308696065","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","GustavoAvalosRo",1,FALSE,FALSE,NA,NA,"pinche_viejo","edad"
"@ingmaaguirre @m_ebrard Jajajaja pinché viejo bigote de mugre se cree gracioso <ed><U+00A0><U+00BE><ed><U+00B4><U+00A3>",FALSE,1,"ingmaaguirre",2018-06-12 05:02:25,FALSE,"1006400816264048641","1006401312135766016","924327721","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jka77",0,FALSE,FALSE,NA,NA,"pinche_viejo","edad"
"@PabloHiriart Pinche viejo decrepito #MamaWebosDelSistema",FALSE,0,"PabloHiriart",2018-06-12 04:45:00,FALSE,"1006386534776557568","1006396927129391105","130995068","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ARIREY619",0,FALSE,FALSE,NA,NA,"pinche_viejo","edad"
"@VicenteFoxQue Tu puta madre pinche viejo chismoso y metiche<ed><U+00A0><U+00BD><ed><U+00B8><U+00A0><ed><U+00A0><U+00BD><ed><U+00B2><U+00AA><ed><U+00A0><U+00BD><ed><U+00B2><U+00AA>",FALSE,0,"VicenteFoxQue",2018-06-12 04:17:14,FALSE,"1006314892117381120","1006389943415926784","166669818","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","oskargarcia7",0,FALSE,FALSE,NA,NA,"pinche_viejo","edad"
"@VicenteFoxQue Del trabajo de estos canes es de lo que vives ""pinche viejo pendejo""",FALSE,0,"VicenteFoxQue",2018-06-12 03:34:42,FALSE,"1006314892117381120","1006379237232857093","166669818","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","cesarodon",0,FALSE,FALSE,NA,NA,"pinche_viejo","edad"
"@galvanochoa Senador <ed><U+00A0><U+00BD><ed><U+00B8><U+00A0> pinche viejo corrupto hijo de @FelipeCalderon <ed><U+00A0><U+00BE><ed><U+00B4><U+00AC>",FALSE,0,"galvanochoa",2018-06-12 03:31:24,FALSE,"1006351844858359810","1006378407016443904","36109768","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","cesar_rdz_",0,FALSE,FALSE,NA,NA,"pinche_viejo","edad"
"@mrosocosmo @Peyote_DC @Amauryvz @peladoalmeyda @jorgevergara @Chivas Concuerdo!! esa mierda es el de los problemas… https://t.co/qdrOx7yjoz",FALSE,0,"mrosocosmo",2018-06-12 03:01:57,TRUE,"1006360681417932806","1006370994821332992","808376275744210944","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","esemauricin",0,FALSE,FALSE,NA,NA,"pinche_viejo","edad"
"@jorgevergara @JLHB33 @peladoalmeyda @Chivas @Amauryvz Pinche viejo hipocrita y senil",FALSE,0,"jorgevergara",2018-06-12 02:51:43,FALSE,"1006347926585643008","1006368419833372672","18667167","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","navi_rhcp",0,FALSE,FALSE,NA,NA,"pinche_viejo","edad"
"@AguacatitoEl @AscMar @RPELAEZ9 Ese pinche viejo puto siempre los defiende.",FALSE,1,"AguacatitoEl",2018-06-12 02:08:01,FALSE,"1006347285054283776","1006357421948882944","968973401577619456","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","FavDeTuNovia",0,FALSE,FALSE,NA,NA,"pinche_viejo","edad"
"@Manuel_Ibarra @lopezobrador_ <ed><U+00A0><U+00BD><ed><U+00B8><U+0082> <ed><U+00A0><U+00BD><ed><U+00B8><U+0082> <ed><U+00A0><U+00BD><ed><U+00B8><U+0082> pinche viejo piojoso",FALSE,4,"Manuel_Ibarra",2018-06-12 02:00:04,FALSE,"1006316985511104512","1006355424319287296","1114231","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","mosho0506",0,FALSE,FALSE,NA,NA,"pinche_viejo","edad"
"@jorgevergara @peladoalmeyda @Chivas @Amauryvz Pinche viejo puto!",FALSE,0,"jorgevergara",2018-06-12 01:49:08,FALSE,"1006347926585643008","1006352669768855553","18667167","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","JosueJmsD",0,FALSE,FALSE,NA,NA,"pinche_viejo","edad"
"@VicenteFoxQue La perrada? Eres igual de vulgar y corriente como cualquier politiquillo #PAN ista. No te cansas de… https://t.co/N8HmGC21t6",FALSE,0,"VicenteFoxQue",2018-06-12 01:36:56,TRUE,"1006314892117381120","1006349600272404481","166669818","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MikeWazausky27",0,FALSE,FALSE,NA,NA,"pinche_viejo","edad"
"RT @DonExperiencias: @PiensameAmor PINCHE VIEJO OJETE #AMLO @lopezobrador_ COMO PRETENDES LIBERAR A TODOS LOS DELINCUENTES Y PERDONARLOS NO…",FALSE,0,NA,2018-06-12 01:34:16,FALSE,NA,"1006348929158377472",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","DracoValencia",2,TRUE,FALSE,NA,NA,"pinche_viejo","edad"
"RT @DonExperiencias: @PiensameAmor PINCHE VIEJO OJETE #AMLO @lopezobrador_ COMO PRETENDES LIBERAR A TODOS LOS DELINCUENTES Y PERDONARLOS NO…",FALSE,0,NA,2018-06-12 01:30:06,FALSE,NA,"1006347882130300929",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Rgarcianovoa",2,TRUE,FALSE,NA,NA,"pinche_viejo","edad"
"@VicenteFoxQue Perrada que te mantiene. Pinche viejo inútil y huevón, Ratero. Ya que has robado a toda una nación q… https://t.co/5dJgY78UTc",FALSE,0,"VicenteFoxQue",2018-06-12 00:26:38,TRUE,"1006314892117381120","1006331907934769152","166669818","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","fcastillo14",0,FALSE,FALSE,NA,NA,"pinche_viejo","edad"
"#yotambiensoyorate viejo pinche corrupto, usted es más hijo de puta entonces.",FALSE,0,NA,2018-06-12 00:26:31,FALSE,NA,"1006331878348115973",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","chuyhcruz",0,FALSE,FALSE,NA,NA,"pinche_viejo","edad"
"@PiensameAmor PINCHE VIEJO OJETE #AMLO @lopezobrador_ COMO PRETENDES LIBERAR A TODOS LOS DELINCUENTES Y PERDONARLOS… https://t.co/wIoJ2d1P6y",FALSE,0,"PiensameAmor",2018-06-12 00:20:42,TRUE,"1006310154701287429","1006330415844614164","389647251","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","DonExperiencias",2,FALSE,FALSE,NA,NA,"pinche_viejo","edad"
"@revistaproceso Así es la política y los políticos de Mexico sin ideas traicioneros perros sarnosos viviendo de los… https://t.co/AJpN9rusyq",FALSE,0,"revistaproceso",2018-06-12 00:02:58,TRUE,"1006266821786423296","1006325955143585793","41156599","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Bernyjz",0,FALSE,FALSE,NA,NA,"pinche_viejo","edad"
"@EnriqueKrauze Es un democrata,  siempre y cuando gane la extrema derecha.  Pinche viejo culero reaccionario.",FALSE,0,"EnriqueKrauze",2018-06-11 23:17:52,FALSE,"1006288295444320257","1006314602701971457","147750051","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","bacallao_juana",0,FALSE,FALSE,NA,NA,"pinche_viejo","edad"
